x,y,z
1.450562,-1.536646,-1.492222
-9.19514,5.128031,-0.378075
-12.93324,-1.984408,-1.447059
22.600571,2.840827,-0.748096
16.075228,12.090626,-0.233675
23.501713,9.719736,-1.53323
3.696059,14.793595,-0.809748
21.615795,11.231968,-0.883407
-8.813248,11.288897,1.320625
-10.128466,5.440598,0.948368
-3.329949,1.454083,0.370841
-2.600116,-1.943525,-0.733042
-20.257826,11.522973,-1.352046
-17.950468,9.911763,0.136944
6.328778,22.016424,-1.535843
6.436214,16.563759,1.121953
16.326626,1.439165,-0.876213
-5.697607,10.155363,0.462801
20.071373,1.909701,-0.743108
15.623528,5.531975,-0.169048
11.434134,15.49625,-1.069069
-19.743446,5.774759,1.082351
1.644001,13.877658,1.482782
-19.513695,-0.086162,-0.866773
-5.537409,18.273884,1.173683
-8.747918,1.482766,-0.388315
-3.34804,2.619635,-0.014229
-4.211811,15.186005,-0.876478
-4.88759,15.031348,-0.873329
8.912884,0.302264,1.898015
6.105033,19.99015,1.132536
5.133348,19.131639,-0.805647
-17.880859,-0.668125,-1.626828
14.727303,12.878599,-0.274218
11.510175,19.836529,-0.462016
-17.3325,-3.205454,-1.051217
-8.733102,1.202488,-0.055465
-15.464455,10.179862,-0.58434
-23.844391,4.307269,1.458645
-4.583042,10.396845,-0.177402
15.127486,12.696637,0.961335
-12.938175,10.475071,0.133337
15.154153,11.831226,-1.584752
23.512613,8.61676,-0.037788
-4.765488,14.751842,-0.658892
12.175795,1.153404,1.197914
-3.737107,13.915521,-0.7964
-20.146542,10.277956,-1.478134
-2.937559,15.725981,-0.876379
-4.204685,14.924028,-0.816462
5.954512,18.618845,1.640658
-1.540525,14.265985,1.381904
17.955093,1.261141,1.161593
-17.95141,12.027809,-0.854723
-19.802073,5.251519,1.08624
16.080143,4.134015,-0.895331
-18.05904,-3.723289,-1.584274
-16.643229,13.327689,2.116698
1.223783,14.232965,-0.824954
3.867583,16.15217,-0.911349
5.221746,21.345753,-0.050806
-1.888638,-0.127212,1.365958
-14.241811,12.416859,-0.729068
22.236626,2.602884,-1.644293
20.51392,3.40205,-1.062911
-20.063438,9.61704,2.131792
-14.254183,-2.788837,-1.619011
5.763724,21.396328,-0.928912
-5.005355,2.725516,0.335619
-3.032109,16.350126,-0.511022
21.847363,6.487968,-0.888001
16.932695,1.67657,-1.654069
-9.001294,12.654854,-1.634068
17.955721,2.968057,1.316086
-19.598356,0.821726,0.221023
6.491301,15.935641,1.148484
21.415867,8.90633,1.192587
-6.63563,11.378815,-1.274199
8.611721,12.984852,-1.043975
-6.487933,16.19581,-0.828531
-3.726938,13.156666,-1.575181
20.52495,9.277098,1.472947
-4.15971,13.053645,-1.017537
19.329359,1.72951,-0.853485
-5.253271,6.206573,0.851674
15.90436,2.913235,-0.164064
-4.204681,13.54193,-0.51427
-10.000162,10.775552,2.092282
-7.685343,11.138393,-0.311057
-4.747611,14.328915,-0.854184
23.25695,-0.084358,-0.536121
-18.293247,-2.831826,2.112025
-18.990789,3.778091,-1.623915
-4.573529,16.489162,0.735077
-17.263519,-1.377712,-0.037166
19.275248,2.332219,1.065741
15.911558,2.911177,0.566042
8.314623,18.347057,-0.719348
3.512193,-3.559347,-1.524361
-4.732111,14.524955,-0.747572
-3.605489,13.740975,-0.845892
18.649822,10.817347,-1.214386
-2.695948,13.827634,-0.928066
9.660329,14.50677,-0.361432
21.94034,1.406295,-1.576184
1.177007,14.987367,1.437432
14.370543,16.124975,-1.522728
7.018361,16.94665,-1.477986
-17.989019,9.896143,1.107372
16.193905,11.76046,0.185594
-5.399396,16.343925,0.542126
-4.569969,10.723207,0.310892
19.570557,11.656161,-1.085096
-4.98522,15.07276,-1.202606
-4.96361,15.027908,-0.818199
-1.921065,16.677834,-0.732084
12.295408,13.645215,-1.488006
-15.016258,-3.000885,1.048266
8.571601,15.867199,-0.808277
18.875303,3.227609,-1.536689
-17.708817,-0.762555,-0.306421
5.356977,18.882904,-1.532198
13.727788,1.146106,1.062234
-3.909923,12.937746,-0.751692
2.576204,-1.950576,-0.708589
-10.068277,17.315594,-1.582266
-5.310605,10.202102,-0.486564
-21.536285,2.956639,2.120152
3.769421,12.866724,1.129902
-15.476981,-2.329154,-0.866733
-2.53412,7.187217,-1.373855
-5.260951,1.253775,0.085645
5.47882,19.946215,-0.69159
11.461966,-1.622037,1.155064
5.391705,21.107698,-1.6192
17.947998,3.971841,-0.274298
4.015127,23.633684,-0.355895
-9.034969,10.954893,0.256042
-4.417436,13.750734,1.430379
-7.534059,13.094595,-1.460898
13.906549,17.173126,2.115066
17.754263,10.083457,-1.492373
-4.423638,16.512629,0.198931
-3.941978,13.379175,-1.657561
19.755905,3.350954,0.238828
7.805885,0.530655,-0.71498
20.301167,0.992577,-0.611565
-2.962845,17.182198,-0.375235
-3.698358,16.598776,0.255104
0.992449,0.062294,-1.212333
-4.80919,7.379714,0.806576
14.993103,10.681777,-1.619547
19.577417,11.584314,-0.495102
-1.328451,13.567167,-1.196511
5.128346,23.716852,0.302949
8.786197,17.576666,2.125835
19.670944,11.044285,-1.008006
6.359747,17.331562,1.134388
16.508129,10.589596,1.326285
15.586688,5.490954,-1.498225
21.811499,12.776838,0.516013
3.841753,14.837585,1.068413
-4.725895,-0.55946,1.446666
13.757062,14.213373,-1.013129
-4.651733,13.628604,-0.873698
-4.062477,13.845589,-0.781657
-8.720892,11.041166,-0.25819
19.738096,12.077655,-1.052325
-12.081995,6.403318,-0.294404
1.10066,14.201294,-0.856488
-3.949599,11.510734,-1.148955
-9.954724,0.258353,1.986719
-3.301551,13.889994,1.38064
20.326881,1.820101,-0.82391
12.440159,16.43544,-0.696228
19.600557,-2.590087,-0.579204
-2.877326,-1.393204,-0.991735
-1.860453,13.864117,-1.630722
16.61797,10.704815,1.094267
-0.904254,13.994304,1.389933
20.86372,-0.061312,-0.970336
19.59568,-0.449831,1.052864
-4.064804,13.669755,-0.731354
4.772177,1.126858,1.365526
-3.313903,14.271377,-0.798071
21.561934,2.313192,0.51255
4.130596,12.486076,-0.192342
5.728567,22.716311,-0.843406
18.066708,1.254239,1.173206
-4.293303,13.506809,-0.323285
-2.875157,-1.603661,-0.684114
2.966541,18.366245,1.443836
23.330158,9.561409,-1.002722
8.728877,14.945586,-0.688448
19.798515,11.070508,-1.044395
3.76106,12.921035,-0.120221
23.69693,6.32172,1.469813
-3.739492,1.542357,0.502251
-3.043181,6.757405,-1.15785
-10.942246,-0.0831,-1.622829
8.796729,20.902649,1.029222
3.740205,1.127553,1.436
-22.73691,7.498297,0.364937
8.494207,16.71174,-0.880152
2.637916,-0.098779,1.414474
19.688681,12.526356,-0.848459
-19.992361,9.970955,1.900984
23.280081,6.771954,1.409959
3.741879,23.414207,-0.446264
-18.364599,4.684494,-1.596587
4.897816,21.08532,-0.70896
-4.676135,2.342304,0.275132
-14.650394,12.725373,-1.399492
-2.380283,14.966244,-0.818489
19.152782,1.460563,-0.854833
-5.36881,16.391552,-0.398974
-15.078835,-4.064867,1.210175
21.483976,9.758795,-0.868777
-4.513749,2.546288,0.277663
23.377958,10.843523,-1.526834
-4.811422,13.508079,-1.05928
-5.023387,15.113173,-0.889335
7.626511,-0.256707,-0.700495
8.389632,20.130644,-1.340503
-15.197302,10.20316,-1.53893
-1.562802,14.490303,1.439967
22.22937,0.690339,-0.096842
-5.982631,10.22986,0.259514
23.75193,7.55632,0.336941
20.59926,9.583681,1.254249
-5.736516,13.418172,1.436908
8.263748,18.617697,-0.896209
9.508523,14.705776,-0.33444
-15.068371,-3.353671,1.022485
19.257812,9.932903,1.469862
18.505568,1.912353,-0.081459
-1.541585,14.409658,1.417661
-19.54245,7.613476,1.389797
-11.783583,3.82174,-1.070042
16.484056,1.54677,1.017046
-8.117945,11.054781,-1.459232
6.524944,17.401915,1.077836
18.967531,0.175305,-1.533191
18.431732,-3.121513,1.268666
-2.148889,14.665241,1.419575
-5.069566,3.088834,-0.836073
-8.120104,11.059988,-0.315068
12.353086,-2.223112,2.175282
-9.16239,10.945306,0.254386
-8.843782,2.182992,0.323798
-1.582526,14.24468,-0.813117
-2.004378,13.83802,1.42115
19.084839,2.550591,1.089028
16.282713,12.295758,2.024392
4.583534,21.983543,2.118831
-4.662663,11.803088,-1.245938
11.890961,13.343376,0.119496
-15.412415,-1.196684,1.038873
-19.556522,0.248302,0.455186
16.3501,10.671568,-1.640888
17.130337,3.442449,0.223664
-3.152128,1.41967,-0.132986
15.877332,12.082895,-0.270476
3.002134,-0.897404,-1.620191
-4.578953,14.366132,-0.723338
-14.64316,-2.252065,-0.890988
-7.743184,11.146131,-0.758728
6.124547,18.962896,1.059549
9.48871,19.285072,-0.611266
-19.546011,10.859007,1.064205
